"","title","author"
"1","""I GIVE YOU MY BODY ...""","Diana Gabaldon"
"2","""MOST BLESSED OF THE PATRIARCHS""","Annette Gordon-Reed and Peter S Onuf"
"3","#ASKGARYVEE","Gary Vaynerchuk"
"4","#GIRLBOSS","Sophia Amoruso"
"5","$100 STARTUP","Chris Guillebeau"
"6","$20 PER GALLON","Christopher Steiner"
"7","'57, Chicago","Steve Monroe"
"8","'ROCK OF AGES: ''ROLLING STONE'' HISTORY OF ROCK AND ROLL'","GEOFFREY STOKES, KEN TUCKER' 'ED WARD"
"9","'THE HIGH ROAD TO CHINA: GEORGE BOGLE, THE PANCHEN LAMA AND THE FIRST BRITISH EXPEDITION TO TIBET'","KATE TELTSCHER"
"10","'TIL DEATH","Sharon Sala"
"11","'TIL DEATH DO US PART","Amanda Quick"
"12","'Til Faith Do Us Part: How Interfaith Marriage is Transforming America","Naomi Schaefer Riley"
"13","'TIS THE SEASON","Ron Carr"
"14","...and the Horse He Rode In On: The People V. Kenneth Starr","James Carville"
"15",".HACK G.U.   , VOL. 5","Hamazaki Tatsuya"
"16","1 Ragged Ridge Road","David Adams Richards"
"17","1,000 PLACES TO SEE BEFORE YOU DIE","Patricia Schultz"
"18","1,000 RECORDINGS TO HEAR BEFORE YOU DIE","Tom Moon"
"19","1,227 QUITE INTERESTING FACTS TO BLOW YOUR SOCKS OFF","John Lloyd and others"
"20","1,339 QUITE INTERESTING FACTS TO MAKE YOUR JAW DROP","John Lloyd, John Mitchinson and James Harkin"
